category_clean,rank_global,title,shop_name,source,price,price_tier,rating_filled,composite_score,discount_pct,available,nb_reviews,nb_variants,product_url
mens shorts,689,"Versatile Short w/ Compression 7"" (Adrenaline)",born_primitive,shopify,56.0,mid_range,4.4,0.7906,20.0,True,0,6,https://bornprimitive.com/products/versatile-short-w-compression-7-adrenaline
womens tactical bottoms,49,Women's Op Assault Pant (Coyote Brown),born_primitive,shopify,145.0,premium,4.8,0.9643,30.6,True,0,24,https://bornprimitive.com/products/womens-op-assault-pant-coyote-brown
womens tactical bottoms,563,FLEX Recon Mid-Rise Skinny Jean (Dark Wash),born_primitive,shopify,30.0,budget,4.7,0.8137,66.7,False,0,18,https://bornprimitive.com/products/flex-recon-mid-rise-skinny-jean-dark-wash
womens tactical bottoms,1006,Range Legging (Black),born_primitive,shopify,78.0,mid_range,4.4,0.7328,0.0,True,0,6,https://bornprimitive.com/products/range-legging-black
womens tops,50,Your Staple Tank (Navy),born_primitive,shopify,24.75,budget,4.7,0.9628,45.0,True,0,9,https://bornprimitive.com/products/your-staple-tank-navy
womens tops,55,Essential Tee Bundle | Black & White Classic-fit PYCA Pro®,cuts_clothing,shopify,62.0,mid_range,4.4,0.9578,40.4,True,0,36,https://cutsclothing.com/products/essential-tee-kit
womens tops,56,Classic Tee Bundle | Black & White Classic-fit PYCA Pro®,cuts_clothing,shopify,55.0,mid_range,4.4,0.9572,40.2,True,0,36,https://cutsclothing.com/products/classic-tee-kit
womens tops,61,Better Than Basic Bundle | Black & White Slim-Fit Tomboy-Cotton™,cuts_clothing,shopify,65.0,mid_range,4.4,0.9559,39.8,True,0,36,https://cutsclothing.com/products/better-than-basic-kit
womens tops,81,Daydream Long Sleeve (Black),born_primitive,shopify,31.2,budget,4.7,0.9493,40.0,True,0,9,https://bornprimitive.com/products/daydream-long-sleeve-black
womens tops,142,Captivate Muscle Tee (Heather Grey),born_primitive,shopify,20.25,budget,4.7,0.9034,55.0,True,0,6,https://bornprimitive.com/products/captivate-muscle-tee-heather-grey
