antecedents,consequents,support,confidence,lift,leverage,conviction
"bcp_images, prix_premium, score_excellent",bcp_variants,0.079,1.0,1.7142,0.0329,inf
"bcp_variants, note_moyenne, score_excellent",dispo,0.0841,1.0,1.3406,0.0214,inf
"dispo, peu_images, peu_variants, prix_budget, score_faible",sans_promo,0.0859,1.0,1.5553,0.0307,inf
"dispo, prix_budget, sans_promo, score_faible","peu_images, peu_variants",0.0859,1.0,4.6963,0.0676,inf
"dispo, peu_variants, prix_budget, score_faible","peu_images, sans_promo",0.0859,1.0,5.4534,0.0702,inf
"dispo, peu_variants, prix_budget, sans_promo, score_faible",peu_images,0.0859,1.0,3.7652,0.0631,inf
"bcp_images, bcp_variants, en_promo, prix_budget, score_excellent",dispo,0.0721,1.0,1.3406,0.0183,inf
"dispo, note_haute, prix_budget, score_faible","peu_images, peu_variants",0.0855,1.0,4.6963,0.0673,inf
"indispo, prix_premium",note_haute,0.1367,1.0,1.379,0.0376,inf
"note_moyenne, peu_variants, score_bon",dispo,0.0508,1.0,1.3406,0.0129,inf
"en_promo, note_moyenne, score_excellent",dispo,0.0642,1.0,1.3406,0.0163,inf
"dispo, note_haute, prix_budget, score_faible","peu_images, peu_variants, sans_promo",0.0855,1.0,6.2034,0.0717,inf
"bcp_variants, note_haute, score_faible",indispo,0.0961,1.0,3.9364,0.0717,inf
"bcp_images, note_haute, score_faible",indispo,0.1145,1.0,3.9364,0.0854,inf
"bcp_images, note_haute, score_excellent",dispo,0.1335,1.0,1.3406,0.0339,inf
"dispo, prix_budget, score_faible",peu_variants,0.0859,1.0,2.4002,0.0501,inf
"bcp_images, prix_budget, score_excellent",dispo,0.0762,1.0,1.3406,0.0194,inf
"bcp_images, bcp_variants, note_haute, prix_premium, score_faible",indispo,0.085,1.0,3.9364,0.0634,inf
"dispo, note_haute, peu_variants, prix_budget, score_faible",peu_images,0.0855,1.0,3.7652,0.0628,inf
"dispo, note_haute, peu_images, prix_budget, score_faible",peu_variants,0.0855,1.0,2.4002,0.0498,inf
"bcp_images, bcp_variants, note_haute, prix_budget, score_excellent",dispo,0.0697,1.0,1.3406,0.0177,inf
"bcp_images, bcp_variants, prix_premium, score_faible","indispo, note_haute",0.085,1.0,5.1425,0.0685,inf
"dispo, peu_variants, score_faible",sans_promo,0.1044,1.0,1.5553,0.0373,inf
"dispo, score_faible","peu_variants, sans_promo",0.1044,1.0,3.5376,0.0749,inf
"bcp_variants, prix_budget, score_excellent",dispo,0.0988,1.0,1.3406,0.0251,inf
"bcp_images, sans_promo, score_excellent",dispo,0.0633,1.0,1.3406,0.0161,inf
"dispo, sans_promo, score_excellent",bcp_variants,0.0665,1.0,1.7142,0.0277,inf
"bcp_variants, sans_promo, score_excellent",dispo,0.0665,1.0,1.3406,0.0169,inf
"sans_promo, score_excellent","bcp_variants, dispo",0.0665,1.0,2.463,0.0395,inf
"bcp_images, en_promo, score_excellent",dispo,0.152,1.0,1.3406,0.0386,inf
"bcp_images, note_moyenne, score_excellent",dispo,0.0818,1.0,1.3406,0.0208,inf
"bcp_images, note_moyenne, score_excellent",bcp_variants,0.0818,1.0,1.7142,0.0341,inf
"bcp_variants, en_promo, score_excellent",dispo,0.1727,1.0,1.3406,0.0439,inf
"dispo, prix_budget, score_faible",sans_promo,0.0859,1.0,1.5553,0.0307,inf
"bcp_images, sans_promo, score_excellent",bcp_variants,0.0633,1.0,1.7142,0.0264,inf
"dispo, note_haute, prix_budget, sans_promo, score_faible",peu_images,0.0855,1.0,3.7652,0.0628,inf
"dispo, note_haute, peu_images, prix_budget, score_faible",sans_promo,0.0855,1.0,1.5553,0.0305,inf
"prix_premium, score_excellent",dispo,0.0799,1.0,1.3406,0.0203,inf
"peu_variants, prix_premium",note_haute,0.0933,1.0,1.379,0.0256,inf
"prix_premium, score_faible",note_haute,0.1256,1.0,1.379,0.0345,inf
"bcp_variants, sans_promo, score_faible",indispo,0.1182,1.0,3.9364,0.0882,inf
"dispo, peu_images, score_faible",sans_promo,0.1012,1.0,1.5553,0.0361,inf
"dispo, note_haute, prix_budget, sans_promo, score_faible","peu_images, peu_variants",0.0855,1.0,4.6963,0.0673,inf
"dispo, note_haute, peu_variants, prix_budget, score_faible","peu_images, sans_promo",0.0855,1.0,5.4534,0.0698,inf
"dispo, note_haute, peu_images, prix_budget, score_faible","peu_variants, sans_promo",0.0855,1.0,3.5376,0.0613,inf
"peu_variants, sans_promo, score_bon",dispo,0.1307,1.0,1.3406,0.0332,inf
"dispo, sans_promo, score_faible",peu_variants,0.1044,1.0,2.4002,0.0609,inf
"prix_mid, score_excellent",dispo,0.061,1.0,1.3406,0.0155,inf
"bcp_images, bcp_variants, indispo, prix_premium, score_faible",note_haute,0.085,1.0,1.379,0.0234,inf
"bcp_variants, note_haute, prix_budget, score_excellent",dispo,0.0933,1.0,1.3406,0.0237,inf
"en_promo, prix_budget, score_excellent",dispo,0.1012,1.0,1.3406,0.0257,inf
"dispo, note_haute, prix_budget, score_faible",sans_promo,0.0855,1.0,1.5553,0.0305,inf
"en_promo, note_haute, prix_budget, score_excellent",dispo,0.0947,1.0,1.3406,0.0241,inf
"dispo, note_haute, peu_variants, prix_budget, sans_promo, score_faible",peu_images,0.0855,1.0,3.7652,0.0628,inf
"dispo, note_haute, prix_budget, score_faible","peu_images, sans_promo",0.0855,1.0,5.4534,0.0698,inf
"dispo, note_haute, prix_budget, sans_promo, score_faible",peu_variants,0.0855,1.0,2.4002,0.0498,inf
"dispo, note_haute, peu_variants, prix_budget, score_faible",sans_promo,0.0855,1.0,1.5553,0.0305,inf
"dispo, note_haute, prix_budget, score_faible","peu_variants, sans_promo",0.0855,1.0,3.5376,0.0613,inf
"bcp_images, bcp_variants, prix_premium, sans_promo, score_excellent",dispo,0.055,1.0,1.3406,0.014,inf
"bcp_images, dispo, prix_premium, sans_promo, score_excellent",bcp_variants,0.055,1.0,1.7142,0.0229,inf
"dispo, note_haute, peu_images, prix_budget, sans_promo, score_faible",peu_variants,0.0855,1.0,2.4002,0.0498,inf
"dispo, note_haute, peu_images, peu_variants, prix_budget, score_faible",sans_promo,0.0855,1.0,1.5553,0.0305,inf
"bcp_images, bcp_variants, score_faible",indispo,0.1136,1.0,3.9364,0.0848,inf
"dispo, peu_images, score_faible",peu_variants,0.1012,1.0,2.4002,0.059,inf
"bcp_images, bcp_variants, score_excellent",dispo,0.2125,1.0,1.3406,0.054,inf
"dispo, prix_budget, sans_promo, score_faible",peu_images,0.0859,1.0,3.7652,0.0631,inf
"dispo, peu_images, prix_budget, score_faible",sans_promo,0.0859,1.0,1.5553,0.0307,inf
"dispo, prix_budget, score_faible","peu_images, sans_promo",0.0859,1.0,5.4534,0.0702,inf
"dispo, prix_budget, sans_promo, score_faible",peu_variants,0.0859,1.0,2.4002,0.0501,inf
"dispo, peu_variants, prix_budget, score_faible",sans_promo,0.0859,1.0,1.5553,0.0307,inf
"dispo, prix_budget, score_faible","peu_variants, sans_promo",0.0859,1.0,3.5376,0.0616,inf
"bcp_images, prix_premium, sans_promo, score_excellent","bcp_variants, dispo",0.055,1.0,2.463,0.0326,inf
"bcp_images, en_promo, note_haute, prix_budget, score_excellent",dispo,0.0711,1.0,1.3406,0.0181,inf
"bcp_variants, en_promo, note_haute, prix_budget, score_excellent",dispo,0.0905,1.0,1.3406,0.023,inf
