antecedents,consequents,support,confidence,lift,leverage,conviction
"bcp_variants, prix_premium, score_bon",note_haute,0.0808,0.9669,1.3333,0.0202,8.2906
"bcp_images, en_promo, peu_variants, score_bon",dispo,0.067,0.9667,1.2959,0.0153,7.6212
"dispo, en_promo, prix_budget, score_bon",peu_variants,0.067,0.9667,2.3202,0.0381,17.5012
"peu_variants, prix_premium, score_bon","note_haute, sans_promo",0.0536,0.9667,1.9688,0.0264,15.2702
"note_haute, peu_variants, prix_premium, score_bon",sans_promo,0.0536,0.9667,1.5035,0.0179,10.7113
"bcp_variants, prix_budget, score_bon",note_haute,0.0536,0.9667,1.333,0.0134,8.2448
"dispo, note_haute, peu_variants, prix_premium, score_bon",sans_promo,0.0536,0.9667,1.5035,0.0179,10.7113
"peu_variants, prix_premium, score_bon","dispo, note_haute, sans_promo",0.0536,0.9667,2.7867,0.0344,19.5935
"dispo, peu_variants, prix_premium, score_bon",sans_promo,0.0536,0.9667,1.5035,0.0179,10.7113
"peu_variants, prix_premium, score_bon",sans_promo,0.0536,0.9667,1.5035,0.0179,10.7113
"peu_variants, prix_premium, score_bon","dispo, sans_promo",0.0536,0.9667,2.1204,0.0283,16.3233
"dispo, peu_variants, prix_premium, score_bon","note_haute, sans_promo",0.0536,0.9667,1.9688,0.0264,15.2702
"note_haute, peu_variants, prix_premium, score_bon","dispo, sans_promo",0.0536,0.9667,2.1204,0.0283,16.3233
"peu_images, prix_budget, sans_promo, score_faible","note_haute, peu_variants",0.0933,0.9665,2.9348,0.0615,20.0243
"en_promo, prix_mid, score_excellent","bcp_variants, note_moyenne",0.0527,0.9661,5.1517,0.0424,23.9679
"dispo, en_promo, prix_mid, score_excellent","bcp_variants, note_moyenne",0.0527,0.9661,5.1517,0.0424,23.9679
"dispo, en_promo, prix_mid, score_excellent",note_moyenne,0.0527,0.9661,3.5153,0.0377,21.3926
"bcp_variants, prix_premium, sans_promo, score_bon",note_haute,0.079,0.9661,1.3322,0.0197,8.1074
"en_promo, prix_mid, score_excellent",note_moyenne,0.0527,0.9661,3.5153,0.0377,21.3926
"en_promo, prix_mid, score_excellent","dispo, note_moyenne",0.0527,0.9661,4.4884,0.0409,23.1503
"en_promo, prix_mid, score_excellent","bcp_variants, dispo, note_moyenne",0.0527,0.9661,6.4957,0.0445,25.1125
"bcp_images, bcp_variants, prix_premium, score_bon",note_haute,0.0785,0.9659,1.332,0.0196,8.0616
"peu_variants, prix_budget",note_haute,0.2074,0.9656,1.3315,0.0516,7.9872
"bcp_images, dispo, en_promo, prix_mid, score_excellent",note_moyenne,0.0517,0.9655,3.5132,0.037,21.03
"bcp_images, en_promo, prix_mid, score_excellent","bcp_variants, dispo, note_moyenne",0.0517,0.9655,6.4918,0.0438,24.6868
"bcp_images, dispo, en_promo, prix_mid, score_excellent","bcp_variants, note_moyenne",0.0517,0.9655,5.1486,0.0417,23.5617
"bcp_images, en_promo, prix_mid, score_excellent","dispo, note_moyenne",0.0517,0.9655,4.4857,0.0402,22.758
"bcp_images, en_promo, prix_mid, score_excellent","bcp_variants, note_moyenne",0.0517,0.9655,5.1486,0.0417,23.5617
"bcp_images, en_promo, prix_mid, score_excellent",note_moyenne,0.0517,0.9655,3.5132,0.037,21.03
"dispo, en_promo, prix_mid",note_moyenne,0.0896,0.9652,3.5119,0.0641,20.8228
"bcp_images, bcp_variants, prix_premium, sans_promo, score_bon",note_haute,0.0767,0.9651,1.3309,0.0191,7.8784
"bcp_images, prix_budget",note_haute,0.1788,0.9651,1.3308,0.0444,7.8718
"bcp_images, dispo, peu_variants, sans_promo",score_bon,0.0887,0.9648,2.1185,0.0468,15.4814
"dispo, peu_variants, prix_budget",note_haute,0.1885,0.9645,1.3301,0.0468,7.7501
"bcp_images, dispo, en_promo, prix_mid",note_moyenne,0.0873,0.9643,3.5087,0.0624,20.3048
"en_promo, note_moyenne, score_excellent",bcp_variants,0.0619,0.964,1.6525,0.0244,11.5823
"en_promo, note_moyenne, score_excellent","bcp_variants, dispo",0.0619,0.964,2.3744,0.0358,16.5131
"dispo, en_promo, note_moyenne, score_excellent",bcp_variants,0.0619,0.964,1.6525,0.0244,11.5823
"bcp_images, en_promo, prix_budget",note_haute,0.1353,0.9638,1.3291,0.0335,7.5952
"prix_budget, score_bon",note_haute,0.1557,0.9629,1.3278,0.0384,7.3992
"bcp_images, dispo, peu_variants",score_bon,0.1557,0.9629,2.1142,0.082,14.6616
"en_promo, prix_mid",note_moyenne,0.1062,0.9623,3.5016,0.0759,19.2574
"peu_images, prix_budget, score_faible","peu_variants, sans_promo",0.0942,0.9623,3.4041,0.0665,19.009
"note_haute, peu_images, prix_budget, score_faible","peu_variants, sans_promo",0.0933,0.9619,3.4028,0.0659,18.8297
"bcp_variants, prix_mid, score_excellent","bcp_images, dispo, note_moyenne",0.0582,0.9618,5.1038,0.0468,21.2625
"bcp_variants, prix_mid, score_excellent","bcp_images, note_moyenne",0.0582,0.9618,3.9816,0.0436,19.8709
"bcp_variants, dispo, prix_mid, score_excellent","bcp_images, note_moyenne",0.0582,0.9618,3.9816,0.0436,19.8709
"dispo, en_promo, score_excellent",bcp_variants,0.1727,0.9614,1.6481,0.0679,10.8046
"en_promo, score_excellent",bcp_variants,0.1727,0.9614,1.6481,0.0679,10.8046
"en_promo, score_excellent","bcp_variants, dispo",0.1727,0.9614,2.3681,0.0998,15.4043
"bcp_images, en_promo, prix_mid",note_moyenne,0.103,0.9612,3.4975,0.0736,18.6934
"peu_variants, prix_budget, score_bon",note_haute,0.1021,0.9609,1.325,0.025,7.0234
"bcp_variants, dispo, prix_mid",bcp_images,0.1247,0.9609,1.3083,0.0294,6.7846
prix_budget,note_haute,0.3603,0.9606,1.3246,0.0883,6.9737
"prix_budget, score_excellent","dispo, en_promo",0.1012,0.9605,3.3114,0.0706,17.9849
"dispo, prix_budget, score_excellent",en_promo,0.1012,0.9605,2.6902,0.0636,16.2882
"prix_budget, score_excellent",en_promo,0.1012,0.9605,2.6902,0.0636,16.2882
"bcp_images, dispo, en_promo, peu_variants",score_bon,0.067,0.9603,2.1085,0.0352,13.7051
"bcp_variants, indispo, note_haute, prix_premium","bcp_images, sans_promo",0.1002,0.9602,2.0892,0.0523,13.5704
"bcp_variants, indispo, prix_premium","bcp_images, sans_promo",0.1002,0.9602,2.0892,0.0523,13.5704
"bcp_variants, indispo, prix_premium","bcp_images, note_haute, sans_promo",0.1002,0.9602,2.8993,0.0657,16.7949
"en_promo, note_haute, score_excellent","bcp_variants, dispo",0.1109,0.96,2.3645,0.064,14.8499
"dispo, en_promo, note_haute, score_excellent",bcp_variants,0.1109,0.96,1.6456,0.0435,10.4157
"en_promo, note_haute, score_excellent",bcp_variants,0.1109,0.96,1.6456,0.0435,10.4157
"bcp_variants, prix_mid",bcp_images,0.1649,0.9597,1.3067,0.0387,6.5866
"dispo, peu_variants, prix_budget, score_bon",note_haute,0.0988,0.9596,1.3233,0.0242,6.8096
"note_haute, peu_images, score_faible",peu_variants,0.1201,0.9594,2.3028,0.0679,14.3722
"bcp_images, peu_variants, prix_budget, score_bon",dispo,0.0536,0.9587,1.2852,0.0119,6.1478
"bcp_images, dispo, peu_variants, prix_budget",score_bon,0.0536,0.9587,2.105,0.0281,13.1787
"bcp_variants, dispo, prix_premium, score_bon",note_haute,0.0642,0.9586,1.3219,0.0156,6.6416
"bcp_variants, dispo, prix_premium, score_bon","bcp_images, sans_promo",0.0642,0.9586,2.0858,0.0334,13.06
"bcp_images, dispo, note_haute, peu_variants, prix_budget",score_bon,0.0531,0.9583,2.1043,0.0279,13.0697
"bcp_images, note_haute, peu_variants, prix_budget, score_bon",dispo,0.0531,0.9583,1.2847,0.0118,6.097
"bcp_images, dispo, prix_budget",note_haute,0.1478,0.9581,1.3212,0.0359,6.5566
"bcp_variants, dispo, prix_premium, sans_promo, score_bon",note_haute,0.0633,0.958,1.3211,0.0154,6.55
"bcp_variants, prix_budget, score_excellent","dispo, en_promo",0.0947,0.9579,3.3025,0.066,16.8806
"bcp_variants, dispo, prix_budget, score_excellent",en_promo,0.0947,0.9579,2.683,0.0594,15.2881
"bcp_variants, prix_budget, score_excellent",en_promo,0.0947,0.9579,2.683,0.0594,15.2881
"indispo, peu_variants",score_faible,0.0734,0.9578,3.2101,0.0506,16.6383
"bcp_images, bcp_variants, dispo, prix_premium, score_bon",note_haute,0.0624,0.9574,1.3203,0.0151,6.4584
"bcp_variants, dispo, note_moyenne, prix_mid",bcp_images,0.1141,0.9574,1.3036,0.0266,6.2293
"note_haute, prix_budget, score_excellent","bcp_variants, dispo",0.0933,0.9573,2.358,0.0537,13.9259
"dispo, note_haute, prix_budget, score_excellent",bcp_variants,0.0933,0.9573,1.6411,0.0364,9.7676
"note_haute, prix_budget, score_excellent",bcp_variants,0.0933,0.9573,1.6411,0.0364,9.7676
"bcp_variants, en_promo, prix_mid","bcp_images, note_moyenne",0.0725,0.9573,3.9629,0.0542,17.7689
"bcp_variants, en_promo, prix_mid, score_excellent","bcp_images, note_moyenne",0.0517,0.9573,3.9627,0.0387,17.7473
"bcp_variants, en_promo, prix_mid, score_excellent","bcp_images, dispo, note_moyenne",0.0517,0.9573,5.0796,0.0415,18.9902
"bcp_variants, dispo, en_promo, prix_mid, score_excellent","bcp_images, note_moyenne",0.0517,0.9573,3.9627,0.0387,17.7473
"bcp_images, note_moyenne, score_bon",prix_mid,0.1127,0.9569,3.4129,0.0797,16.6823
"bcp_variants, dispo, note_haute, prix_premium, score_bon","bcp_images, sans_promo",0.0614,0.9568,2.082,0.0319,12.5196
"bcp_images, bcp_variants, dispo, prix_premium, sans_promo, score_bon",note_haute,0.0614,0.9568,1.3195,0.0149,6.3668
"bcp_images, dispo, prix_premium, score_bon","note_haute, sans_promo",0.1021,0.9567,1.9485,0.0497,11.7581
"bcp_images, en_promo, prix_budget, score_excellent",note_haute,0.0711,0.9565,1.319,0.0172,6.321
"bcp_variants, dispo, note_moyenne",bcp_images,0.1423,0.9565,1.3024,0.033,6.1085
"bcp_images, en_promo, prix_budget, score_excellent","dispo, note_haute",0.0711,0.9565,1.8023,0.0317,10.7935
"bcp_images, dispo, en_promo, prix_budget, score_excellent",note_haute,0.0711,0.9565,1.319,0.0172,6.321
"peu_images, prix_budget",note_haute,0.1815,0.9562,1.3186,0.0439,6.2752
"bcp_variants, dispo, en_promo, prix_mid","bcp_images, note_moyenne",0.0605,0.9562,3.9583,0.0452,17.3175
"bcp_variants, note_moyenne, prix_mid",bcp_images,0.151,0.9561,1.3019,0.035,6.0554
"bcp_variants, en_promo, prix_budget, score_excellent","dispo, note_haute",0.0905,0.9561,1.8015,0.0403,10.6892
"bcp_variants, en_promo, prix_budget, score_excellent",note_haute,0.0905,0.9561,1.3184,0.0219,6.2599
"en_promo, note_haute, prix_budget, score_excellent",bcp_variants,0.0905,0.9561,1.6389,0.0353,9.4899
"bcp_variants, dispo, en_promo, prix_budget, score_excellent",note_haute,0.0905,0.9561,1.3184,0.0219,6.2599
"dispo, en_promo, note_haute, prix_budget, score_excellent",bcp_variants,0.0905,0.9561,1.6389,0.0353,9.4899
"en_promo, note_haute, prix_budget, score_excellent","bcp_variants, dispo",0.0905,0.9561,2.3549,0.0521,13.5299
"dispo, prix_budget",note_haute,0.3104,0.9559,1.3182,0.0749,6.2324
"prix_premium, score_faible","indispo, note_haute",0.1201,0.9559,4.9156,0.0957,18.259
"note_haute, prix_premium, score_faible",indispo,0.1201,0.9559,3.7627,0.0882,16.9084
"prix_premium, score_faible",indispo,0.1201,0.9559,3.7627,0.0882,16.9084
"bcp_variants, note_moyenne",bcp_images,0.1792,0.9557,1.3013,0.0415,5.9905
"bcp_images, dispo, en_promo, prix_budget",note_haute,0.1095,0.9556,1.3178,0.0264,6.1961
"bcp_images, note_haute, prix_budget, score_excellent","bcp_variants, dispo, en_promo",0.0688,0.9551,5.1567,0.0555,18.158
"bcp_images, dispo, note_haute, prix_budget, score_excellent","bcp_variants, en_promo",0.0688,0.9551,4.2813,0.0527,17.3139
"bcp_images, bcp_variants, dispo, en_promo, prix_budget, score_excellent",note_haute,0.0688,0.9551,1.3171,0.0166,6.1247
"bcp_images, bcp_variants, en_promo, prix_budget, score_excellent","dispo, note_haute",0.0688,0.9551,1.7997,0.0306,10.4583
"bcp_images, bcp_variants, en_promo, prix_budget, score_excellent",note_haute,0.0688,0.9551,1.3171,0.0166,6.1247
"bcp_images, note_haute, prix_budget, score_excellent","bcp_variants, en_promo",0.0688,0.9551,4.2813,0.0527,17.3139
"dispo, prix_budget, score_bon",note_haute,0.1275,0.955,1.317,0.0307,6.1096
"bcp_images, prix_premium, score_bon","note_haute, sans_promo",0.1173,0.9549,1.9448,0.057,11.283
"dispo, prix_premium, score_bon","note_haute, sans_promo",0.1169,0.9547,1.9445,0.0568,11.2406
"dispo, prix_mid, score_excellent","bcp_images, note_moyenne",0.0582,0.9545,3.9514,0.0435,16.6855
"prix_mid, score_excellent","bcp_images, dispo, note_moyenne",0.0582,0.9545,5.0652,0.0467,17.854
"prix_mid, score_excellent","bcp_images, bcp_variants, note_moyenne",0.0582,0.9545,5.3263,0.0473,18.0573
"prix_mid, score_excellent","bcp_images, note_moyenne",0.0582,0.9545,3.9514,0.0435,16.6855
"prix_mid, score_excellent","bcp_images, bcp_variants, dispo, note_moyenne",0.0582,0.9545,6.7097,0.0495,18.8702
"dispo, prix_mid, score_excellent","bcp_images, bcp_variants, note_moyenne",0.0582,0.9545,5.3263,0.0473,18.0573
"bcp_variants, en_promo, prix_budget",note_haute,0.1159,0.9544,1.3161,0.0278,6.0233
"prix_budget, sans_promo, score_faible",peu_images,0.0965,0.9543,3.5933,0.0697,16.0836
"bcp_images, note_moyenne, sans_promo, score_bon",prix_mid,0.0674,0.9542,3.4035,0.0476,15.7291
"note_haute, peu_images, sans_promo, score_faible",peu_variants,0.1053,0.954,2.2898,0.0593,12.6751
"en_promo, peu_variants, prix_budget, score_bon",dispo,0.067,0.9539,1.2788,0.0146,5.5163
"dispo, peu_images, prix_budget",note_haute,0.1626,0.9539,1.3155,0.039,5.9654
"note_haute, prix_budget, sans_promo, score_faible",peu_images,0.0956,0.9539,3.5917,0.069,15.9367
"bcp_variants, prix_budget",note_haute,0.1529,0.9539,1.3154,0.0367,5.9603
"peu_images, peu_variants, prix_budget",note_haute,0.1432,0.9538,1.3153,0.0343,5.9546
"en_promo, note_haute, peu_variants, score_bon",dispo,0.0665,0.9536,1.2784,0.0145,5.48
"en_promo, note_haute, peu_variants, score_bon",prix_budget,0.0665,0.9536,2.5427,0.0404,13.4809
"dispo, peu_images, peu_variants, prix_budget",note_haute,0.133,0.9536,1.3151,0.0319,5.9284
"prix_premium, score_bon","note_haute, sans_promo",0.1326,0.9535,1.942,0.0643,10.9436
"peu_images, prix_budget, score_faible","note_haute, peu_variants, sans_promo",0.0933,0.9528,4.0768,0.0704,16.2452
"note_moyenne, sans_promo, score_bon",prix_mid,0.0744,0.9527,3.3979,0.0525,15.2022
"prix_mid, sans_promo, score_bon",dispo,0.1012,0.9522,1.2764,0.0219,5.3118
"dispo, sans_promo, score_excellent",bcp_images,0.0633,0.9514,1.2954,0.0144,5.4635
"bcp_variants, sans_promo, score_excellent",bcp_images,0.0633,0.9514,1.2954,0.0144,5.4635
"sans_promo, score_excellent","bcp_images, bcp_variants",0.0633,0.9514,1.7927,0.028,9.6538
"bcp_variants, sans_promo, score_excellent","bcp_images, dispo",0.0633,0.9514,1.7989,0.0281,9.6919
"dispo, sans_promo, score_excellent","bcp_images, bcp_variants",0.0633,0.9514,1.7927,0.028,9.6538
"sans_promo, score_excellent","bcp_images, bcp_variants, dispo",0.0633,0.9514,2.5909,0.0389,13.0175
"en_promo, note_haute, peu_variants, prix_budget, score_bon",dispo,0.0633,0.9514,1.2754,0.0137,5.226
"dispo, en_promo, note_haute, peu_variants, score_bon",prix_budget,0.0633,0.9514,2.5366,0.0383,12.856
"sans_promo, score_excellent",bcp_images,0.0633,0.9514,1.2954,0.0144,5.4635
"bcp_variants, dispo, sans_promo, score_excellent",bcp_images,0.0633,0.9514,1.2954,0.0144,5.4635
"sans_promo, score_excellent","bcp_images, dispo",0.0633,0.9514,1.7989,0.0281,9.6919
"peu_images, score_faible",peu_variants,0.1349,0.9511,2.2829,0.0758,11.9397
"bcp_images, dispo, note_moyenne, sans_promo, score_bon",prix_mid,0.0628,0.951,3.3921,0.0443,14.701
"bcp_images, dispo, note_moyenne, score_bon",prix_mid,0.0984,0.9509,3.3916,0.0694,14.6543
"bcp_variants, prix_mid, score_bon",bcp_images,0.0804,0.9508,1.2947,0.0183,5.4003
"bcp_variants, indispo, note_haute, sans_promo",bcp_images,0.1072,0.9508,1.2947,0.0244,5.4003
"prix_premium, sans_promo, score_faible","indispo, note_haute",0.1062,0.9504,4.8875,0.0845,16.2451
"bcp_images, peu_variants, prix_budget, score_bon","dispo, note_haute",0.0531,0.9504,1.7908,0.0235,9.4639
"prix_premium, sans_promo, score_faible",indispo,0.1062,0.9504,3.7412,0.0778,15.0435
"bcp_images, dispo, peu_variants, prix_budget","note_haute, score_bon",0.0531,0.9504,2.9186,0.0349,13.5997
"note_haute, prix_premium, sans_promo, score_faible",indispo,0.1062,0.9504,3.7412,0.0778,15.0435
"bcp_variants, prix_premium, score_bon","bcp_images, sans_promo",0.0794,0.9503,2.0677,0.041,10.8684
"bcp_images, bcp_variants, prix_budget",note_haute,0.1145,0.9502,1.3103,0.0271,5.5177
"bcp_images, bcp_variants, en_promo, prix_budget",note_haute,0.0878,0.95,1.31,0.0208,5.4965
"dispo, note_moyenne, sans_promo, score_bon",prix_mid,0.0697,0.9497,3.3873,0.0492,14.3027
"en_promo, prix_mid, score_excellent","bcp_images, note_moyenne",0.0517,0.9492,3.9291,0.0386,14.9158
"en_promo, prix_mid, score_excellent","bcp_images, dispo, note_moyenne",0.0517,0.9492,5.0366,0.0415,15.9604
"dispo, en_promo, prix_mid, score_excellent","bcp_images, note_moyenne",0.0517,0.9492,3.9291,0.0386,14.9158
"dispo, en_promo, prix_mid, score_excellent","bcp_images, bcp_variants, note_moyenne",0.0517,0.9492,5.2962,0.042,16.1421
"en_promo, prix_mid, score_excellent","bcp_images, bcp_variants, note_moyenne",0.0517,0.9492,5.2962,0.042,16.1421
"en_promo, prix_mid, score_excellent","bcp_images, bcp_variants, dispo, note_moyenne",0.0517,0.9492,6.6718,0.044,16.8688
"bcp_variants, note_haute, prix_premium, score_bon","bcp_images, sans_promo",0.0767,0.9486,2.064,0.0395,10.5081
"dispo, en_promo, note_haute, peu_variants",prix_budget,0.0674,0.9481,2.5277,0.0408,12.0301
"en_promo, prix_budget, score_bon",note_haute,0.0919,0.9476,1.3067,0.0216,5.2467
"en_promo, peu_variants, prix_budget, score_bon",note_haute,0.0665,0.9474,1.3064,0.0156,5.2217
"bcp_variants, note_moyenne, score_bon",bcp_images,0.0748,0.9474,1.29,0.0168,5.0462
"bcp_variants, note_haute, score_faible","bcp_images, indispo, sans_promo",0.091,0.9471,5.8586,0.0755,15.8522
"bcp_variants, note_haute, sans_promo, score_faible","bcp_images, indispo",0.091,0.9471,4.6079,0.0712,15.0225
"bcp_variants, note_haute, score_faible",bcp_images,0.091,0.9471,1.2896,0.0204,5.022
"bcp_variants, indispo, note_haute, sans_promo, score_faible",bcp_images,0.091,0.9471,1.2896,0.0204,5.022
"bcp_variants, note_haute, score_faible","bcp_images, indispo",0.091,0.9471,4.6079,0.0712,15.0225
"bcp_variants, note_haute, sans_promo, score_faible",bcp_images,0.091,0.9471,1.2896,0.0204,5.022
"bcp_variants, indispo, note_haute, score_faible",bcp_images,0.091,0.9471,1.2896,0.0204,5.022
"bcp_variants, note_haute, score_faible","bcp_images, sans_promo",0.091,0.9471,2.0608,0.0468,10.2188
"bcp_variants, indispo, note_haute, score_faible","bcp_images, sans_promo",0.091,0.9471,2.0608,0.0468,10.2188
"bcp_variants, indispo, sans_promo",bcp_images,0.1321,0.947,1.2895,0.0297,5.013
"note_moyenne, score_excellent","bcp_images, bcp_variants",0.0818,0.9465,1.7835,0.0359,8.7756
"note_moyenne, score_excellent","bcp_images, dispo",0.0818,0.9465,1.7897,0.0361,8.8102
"note_moyenne, score_excellent",bcp_images,0.0818,0.9465,1.2888,0.0183,4.9665
"dispo, note_moyenne, score_excellent","bcp_images, bcp_variants",0.0818,0.9465,1.7835,0.0359,8.7756
"note_moyenne, score_excellent","bcp_images, bcp_variants, dispo",0.0818,0.9465,2.5776,0.05,11.8333
"dispo, note_moyenne, score_excellent",bcp_images,0.0818,0.9465,1.2888,0.0183,4.9665
"indispo, score_bon",bcp_variants,0.0568,0.9462,1.6219,0.0218,7.7374
"bcp_images, prix_mid, sans_promo, score_bon",dispo,0.0887,0.9458,1.2679,0.0187,4.6882
"bcp_images, dispo, prix_budget, score_excellent","bcp_variants, en_promo",0.0721,0.9455,4.2379,0.0551,14.2433
"bcp_variants, dispo, note_moyenne, sans_promo",bcp_images,0.0721,0.9455,1.2874,0.0161,4.8691
"bcp_images, prix_budget, score_excellent","bcp_variants, dispo, en_promo",0.0721,0.9455,5.1045,0.0579,14.9376
"bcp_images, prix_budget, score_excellent","dispo, note_haute",0.0721,0.9455,1.7815,0.0316,8.6035
"bcp_images, prix_budget, score_excellent",note_haute,0.0721,0.9455,1.3038,0.0168,5.0385
"bcp_images, prix_budget, score_excellent","bcp_variants, en_promo",0.0721,0.9455,4.2379,0.0551,14.2433
"bcp_images, dispo, prix_budget, score_excellent",note_haute,0.0721,0.9455,1.3038,0.0168,5.0385
"dispo, en_promo, peu_images",prix_budget,0.0559,0.9453,2.5204,0.0337,11.4275
"prix_budget, sans_promo, score_faible","note_haute, peu_images",0.0956,0.9452,4.0683,0.0721,14.0099
"peu_images, sans_promo, score_faible",peu_variants,0.1192,0.9451,2.2683,0.0666,10.6174
"bcp_variants, note_moyenne, sans_promo, score_bon",prix_mid,0.0554,0.9449,3.3701,0.039,13.0562
"dispo, en_promo, peu_variants, prix_budget, score_bon",note_haute,0.0633,0.9448,1.3029,0.0147,4.9812
"bcp_variants, dispo, prix_premium, score_bon","note_haute, sans_promo",0.0633,0.9448,1.9243,0.0304,9.2258
"bcp_variants, prix_premium, score_bon","note_haute, sans_promo",0.079,0.9448,1.9242,0.0379,9.213
"prix_budget, score_faible",peu_variants,0.1021,0.9444,2.2669,0.057,10.5007
"bcp_variants, dispo, prix_mid, sans_promo",bcp_images,0.0628,0.9444,1.286,0.014,4.7806
"bcp_variants, note_moyenne, prix_mid, score_bon",bcp_images,0.0702,0.9441,1.2855,0.0156,4.7511
"note_haute, prix_budget, score_faible",peu_variants,0.1012,0.944,2.2657,0.0565,10.4109
"bcp_variants, prix_budget, score_excellent","dispo, note_haute",0.0933,0.9439,1.7786,0.0408,8.3689
"bcp_variants, prix_budget, score_excellent",note_haute,0.0933,0.9439,1.3017,0.0216,4.9011
"bcp_variants, dispo, prix_budget, score_excellent",note_haute,0.0933,0.9439,1.3017,0.0216,4.9011
"bcp_images, bcp_variants, prix_budget, score_excellent","dispo, note_haute",0.0697,0.9438,1.7783,0.0305,8.3428
"bcp_images, bcp_variants, prix_budget, score_excellent",note_haute,0.0697,0.9438,1.3014,0.0162,4.8858
"bcp_images, bcp_variants, dispo, prix_budget, score_excellent",note_haute,0.0697,0.9438,1.3014,0.0162,4.8858
"en_promo, prix_budget",note_haute,0.1935,0.9437,1.3013,0.0448,4.8809
"prix_premium, sans_promo",note_haute,0.2859,0.9436,1.3012,0.0662,4.8726
"bcp_images, indispo, note_haute, score_faible",sans_promo,0.1081,0.9435,1.4675,0.0344,6.3248
"bcp_images, note_haute, score_faible","indispo, sans_promo",0.1081,0.9435,5.0439,0.0867,14.4005
"bcp_images, note_haute, score_faible",sans_promo,0.1081,0.9435,1.4675,0.0344,6.3248
"bcp_images, bcp_variants, dispo, prix_premium, score_bon","note_haute, sans_promo",0.0614,0.9433,1.9211,0.0295,8.9712
"bcp_variants, prix_mid, sans_promo, score_bon",bcp_images,0.0614,0.9433,1.2844,0.0136,4.681
"bcp_images, bcp_variants, prix_premium, score_bon","note_haute, sans_promo",0.0767,0.9432,1.921,0.0368,8.9585
"en_promo, note_haute, score_bon",prix_budget,0.0919,0.9431,2.5146,0.0554,10.9886
"bcp_variants, dispo, en_promo, prix_budget",note_haute,0.0915,0.9429,1.3002,0.0211,4.8095
"bcp_variants, dispo, prix_budget",note_haute,0.1219,0.9429,1.3002,0.0282,4.8095
"bcp_variants, score_faible",bcp_images,0.1136,0.9425,1.2834,0.0251,4.6212
"bcp_variants, score_faible","bcp_images, indispo",0.1136,0.9425,4.5856,0.0888,13.8236
"bcp_variants, indispo, score_faible",bcp_images,0.1136,0.9425,1.2834,0.0251,4.6212
"bcp_images, dispo, peu_variants, prix_mid",score_bon,0.0605,0.9424,2.0694,0.0313,9.462
"bcp_variants, prix_mid, sans_promo",bcp_images,0.0905,0.9423,1.2831,0.02,4.6035
"indispo, note_haute, peu_variants",score_faible,0.0527,0.9421,3.1575,0.036,12.1279
"bcp_variants, note_moyenne, sans_promo",bcp_images,0.097,0.9417,1.2823,0.0214,4.5559
"bcp_variants, note_moyenne, score_bon",prix_mid,0.0744,0.9415,3.3581,0.0522,12.3057
"bcp_variants, indispo, sans_promo, score_faible",bcp_images,0.1113,0.9414,1.2819,0.0245,4.5327
"bcp_variants, sans_promo, score_faible","bcp_images, indispo",0.1113,0.9414,4.5801,0.087,13.5587
"bcp_variants, sans_promo, score_faible",bcp_images,0.1113,0.9414,1.2819,0.0245,4.5327
"bcp_images, bcp_variants, note_moyenne, sans_promo, score_bon",prix_mid,0.0517,0.9412,3.3569,0.0363,12.2337
"peu_images, prix_budget, score_bon",note_haute,0.0591,0.9412,1.2979,0.0136,4.6721
"note_moyenne, sans_promo, score_bon",dispo,0.0734,0.9408,1.2612,0.0152,4.2933
"prix_budget, sans_promo, score_faible",peu_variants,0.0952,0.9406,2.2577,0.053,9.8276
"dispo, en_promo, prix_mid","bcp_images, note_moyenne",0.0873,0.9403,3.8924,0.0649,12.7037
"bcp_variants, dispo, note_moyenne, sans_promo, score_bon",prix_mid,0.0508,0.9402,3.3533,0.0357,12.0281
"note_haute, prix_budget, sans_promo, score_faible",peu_variants,0.0942,0.9401,2.2564,0.0525,9.7378
"bcp_variants, dispo, prix_mid, score_bon",bcp_images,0.0651,0.94,1.2799,0.0142,4.4265
"bcp_variants, prix_premium, score_bon","bcp_images, note_haute",0.0785,0.9392,1.9057,0.0373,8.3451
"dispo, en_promo, note_haute, score_bon",prix_budget,0.0642,0.9392,2.5041,0.0386,10.2768
"dispo, note_haute, peu_images, score_faible","peu_variants, prix_budget",0.0855,0.9391,4.3723,0.0659,12.8907
"dispo, note_haute, score_faible","peu_images, prix_budget, sans_promo",0.0855,0.9391,7.5023,0.0741,14.3617
"dispo, note_haute, peu_images, sans_promo, score_faible","peu_variants, prix_budget",0.0855,0.9391,4.3723,0.0659,12.8907
"dispo, note_haute, peu_images, peu_variants, score_faible","prix_budget, sans_promo",0.0855,0.9391,5.5248,0.07,13.6262
"dispo, note_haute, sans_promo, score_faible","peu_images, peu_variants, prix_budget",0.0855,0.9391,6.2558,0.0718,13.9523
"dispo, note_haute, peu_variants, score_faible","peu_images, prix_budget, sans_promo",0.0855,0.9391,7.5023,0.0741,14.3617
"dispo, note_haute, peu_images, score_faible","peu_variants, prix_budget, sans_promo",0.0855,0.9391,7.1589,0.0735,14.2632
"dispo, note_haute, peu_variants, sans_promo, score_faible",prix_budget,0.0855,0.9391,2.5038,0.0513,10.2595
"dispo, note_haute, peu_variants, score_faible","prix_budget, sans_promo",0.0855,0.9391,5.5248,0.07,13.6262
